wavelength_nm	ideal_target_transmittance	tandem_response_transmittance
4.6367900171e+02	9.2561095953e-01	7.4871766567e-01
4.6409871115e+02	9.2632919550e-01	7.4690777063e-01
4.6451842059e+02	9.2703080177e-01	7.4577534199e-01
4.6493813003e+02	9.2771625519e-01	7.4425822496e-01
4.6535783947e+02	9.2838579416e-01	7.4334233999e-01
4.6577754891e+02	9.2903989553e-01	7.4143439531e-01
4.6619725835e+02	9.2967885733e-01	7.4110239744e-01
4.6661696780e+02	9.3030303717e-01	7.4040400982e-01
4.6703667724e+02	9.3091273308e-01	7.3927003145e-01
4.6745638668e+02	9.3150824308e-01	7.3819828033e-01
4.6787609612e+02	9.3208992481e-01	7.3875963688e-01
4.6829580556e+02	9.3265807629e-01	7.3791718483e-01
4.6871551500e+02	9.3321293592e-01	7.3654729128e-01
4.6913522444e+02	9.3375480175e-01	7.3578715324e-01
4.6955493388e+02	9.3428397179e-01	7.3478722572e-01
4.6997464332e+02	9.3480062485e-01	7.3470926285e-01
4.7039435277e+02	9.3530511856e-01	7.3359221220e-01
4.7081406221e+02	9.3579763174e-01	7.3234963417e-01
4.7123377165e+02	9.3627840281e-01	7.2994166613e-01
4.7165348109e+02	9.3674772978e-01	7.3095148802e-01
4.7207319053e+02	9.3720573187e-01	7.2966903448e-01
4.7249289997e+02	9.3765270710e-01	7.2896766663e-01
4.7291260941e+02	9.3808877468e-01	7.2723209858e-01
4.7333231885e+02	9.3851429224e-01	7.2667467594e-01
4.7375202830e+02	9.3892925978e-01	7.2549861670e-01
4.7417173774e+02	9.3933403492e-01	7.2552120686e-01
4.7459144718e+02	9.3972867727e-01	7.2533321381e-01
4.7501115662e+02	9.4011348486e-01	7.2377842665e-01
4.7543086606e+02	9.4048851728e-01	7.2452533245e-01
4.7585057550e+02	9.4085401297e-01	7.2366046906e-01
4.7627028494e+02	9.4121009111e-01	7.2589331865e-01
4.7668999438e+02	9.4155693054e-01	7.2490340471e-01
4.7710970383e+02	9.4189465046e-01	7.2452145815e-01
4.7752941327e+02	9.4222348928e-01	7.2421097755e-01
4.7794912271e+02	9.4254350662e-01	7.2515219450e-01
4.7836883215e+02	9.4285482168e-01	7.2579699755e-01
4.7878854159e+02	9.4315767288e-01	7.2535407543e-01
4.7920825103e+02	9.4345206022e-01	7.2689497471e-01
4.7962796047e+02	9.4373822212e-01	7.2576737404e-01
4.8004766991e+02	9.4401615858e-01	7.2698950768e-01
4.8046737935e+02	9.4428610802e-01	7.2652137280e-01
4.8088708880e+02	9.4454813004e-01	7.2760188580e-01
4.8130679824e+02	9.4480234385e-01	7.2745370865e-01
4.8172650768e+02	9.4504880905e-01	7.2737443447e-01
4.8214621712e+02	9.4528764486e-01	7.2799503803e-01
4.8256592656e+02	9.4551897049e-01	7.2765034437e-01
4.8298563600e+02	9.4574290514e-01	7.2795659304e-01
4.8340534544e+02	9.4595944881e-01	7.2701752186e-01
4.8382505488e+02	9.4616878033e-01	7.2718977928e-01
4.8424476433e+02	9.4637095928e-01	7.2802203894e-01
4.8466447377e+02	9.4656604528e-01	7.2790032625e-01
4.8508418321e+02	9.4675415754e-01	7.2691679001e-01
4.8550389265e+02	9.4693529606e-01	7.2632813454e-01
4.8592360209e+02	9.4710958004e-01	7.2707253695e-01
4.8634331153e+02	9.4727712870e-01	7.2611963749e-01
4.8676302097e+02	9.4743788242e-01	7.2721654177e-01
4.8718273041e+02	9.4759202003e-01	7.2782921791e-01
4.8760243986e+02	9.4773954153e-01	7.2631531954e-01
4.8802214930e+02	9.4788050652e-01	7.2679495811e-01
4.8844185874e+02	9.4801497459e-01	7.2738206387e-01
4.8886156818e+02	9.4814306498e-01	7.2598367929e-01
4.8928127762e+02	9.4826471806e-01	7.2660762072e-01
4.8970098706e+02	9.4838005304e-01	7.2799110413e-01
4.9012069650e+02	9.4848906994e-01	7.2612625360e-01
4.9054040594e+02	9.4859182835e-01	7.2723996639e-01
4.9096011538e+02	9.4868838787e-01	7.2709888220e-01
4.9137982483e+02	9.4877874851e-01	7.2662973404e-01
4.9179953427e+02	9.4886296988e-01	7.2547745705e-01
4.9221924371e+02	9.4894105196e-01	7.2620767355e-01
4.9263895315e+02	9.4901311398e-01	7.2649121284e-01
4.9305866259e+02	9.4907909632e-01	7.2631090879e-01
4.9347837203e+02	9.4913899899e-01	7.2679132223e-01
4.9389808147e+02	9.4919294119e-01	7.2646743059e-01
4.9431779091e+02	9.4924086332e-01	7.2648024559e-01
4.9473750036e+02	9.4928282499e-01	7.2783535719e-01
4.9515720980e+02	9.4931882620e-01	7.2514581680e-01
4.9557691924e+02	9.4934892654e-01	7.2550630569e-01
4.9599662868e+02	9.4937306643e-01	7.2674220800e-01
4.9641633812e+02	9.4939130545e-01	7.2589969635e-01
4.9683604756e+02	9.4940358400e-01	7.2644841671e-01
4.9725575700e+02	9.4940996170e-01	7.2769910097e-01
4.9767546644e+02	9.4941043854e-01	7.2714287043e-01
4.9809517589e+02	9.4940501451e-01	7.2705751657e-01
4.9851488533e+02	9.4939368963e-01	7.2652411461e-01
4.9893459477e+02	9.4937646389e-01	7.2662943602e-01
4.9935430421e+02	9.4935327768e-01	7.2586846352e-01
4.9977401365e+02	9.4932419062e-01	7.2616618872e-01
5.0019372309e+02	9.4928914309e-01	7.2720730305e-01
5.0061343253e+02	9.4924813509e-01	7.2663581371e-01
5.0103314197e+02	9.4920122623e-01	7.2775679827e-01
5.0145285141e+02	9.4914823771e-01	7.2777432203e-01
5.0187256086e+02	9.4908928871e-01	7.2862112522e-01
5.0229227030e+02	9.4902431965e-01	7.2859740257e-01
